ITACYL;LC2017;LC2018;LC2019;LC2020;LC2021;LC2022;ITACYL2017;ITACYL2018;ITACYL2019;ITACYL2020;LandCover2017;LandCover2018;LandCover2019;LandCover2020
0;0;0;0;0;-1;-1;-;-;-;-;SinClasificar;SinClasificar;SinClasificar;SinClasificar
1;1;1;-1;-1;-1;-1;TRIGO;TRIGO;-;-;TrigoCentenoCebadaAvena;TrigoCentenoCebadaAvena;-;-
2;1;-1;3;3;-1;-1;CENTENO;-;Alfalfa;Alfalfa;TrigoCentenoCebadaAvena;-;Leguminosas;Leguminosas
3;13;13;13;13;-1;-1;ARTIFICIAL;URBANO-VIALES;Artificiales;Artificiales;Artificial;Artificial;Artificial;Artificial
4;4;4;-1;-1;-1;-1;MAIZ;MAIZ;-;Erial;Maiz;Maiz;-;Suelo desnudo
5;1;1;-1;-1;-1;-1;CEBADA;CEBADA;-;-;TrigoCentenoCebadaAvena;TrigoCentenoCebadaAvena;-;-
6;1;1;10;10;-1;-1;AVENA;CENTENO;Colza;Colza;TrigoCentenoCebadaAvena;TrigoCentenoCebadaAvena;OtrosCultivos;OtrosCultivos
7;1;-1;3;3;-1;-1;TRITICALE;-;Guisante;Guisante;TrigoCentenoCebadaAvena;-;Leguminosas;Leguminosas
8;10;1;3;3;-1;-1;OTROS CEREALES;AVENA;Veza;Veza;OtrosCultivos;TrigoCentenoCebadaAvena;Leguminosas;Leguminosas
9;12;12;12;12;-1;-1;ROQUEDOS;ROQUEDOS;Roquedos;Roquedos;Roquedo y Carcavas;Roquedo y Carcavas;Roquedo y Carcavas;Roquedo y Carcavas
10;-1;-1;-1;-1;-1;-1;-;-;-;Leñosos Abandonados;-;-;-;OtrosCultivos
11;-1;-1;10;10;-1;-1;-;-;Forrajeras;Forrajeras;-;-;OtrosCultivos;OtrosCultivos
12;-1;-1;8;8;-1;-1;-;-;Olivar;Olivar;-;-;Olivar;Olivar
13;-1;1;7;7;-1;-1;-;TRITICALE;Viñedo;Viñedo;-;TrigoCentenoCebadaAvena;Viñedo;Viñedo
14;-1;-1;9;9;-1;-1;-;-;Frutales;Frutales;-;-;Frutales;Frutales
15;-1;-1;9;9;-1;-1;-;-;Frutales Cascara;Frutales Cascara;-;-;Frutales;Frutales
16;-1;-1;10;10;-1;-1;-;-;Adormidera;Adormidera;-;-;OtrosCultivos;OtrosCultivos
17;-1;-1;10;10;-1;-1;-;-;Horticolas;Horticolas;-;-;OtrosCultivos;OtrosCultivos
18;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
19;-1;-1;-1;-1;-1;-1;-;-;-;Lavanda;-;-;-;OtrosCultivos
20;11;11;11;11;-1;-1;SUELO DESNUDO;SUELO DESNUDO;Suelo Desnudo;Suelo Desnudo;Suelo desnudo;Suelo desnudo;Suelo desnudo;Suelo desnudo
21;-1;56;-1;-1;-1;-1;-;BARBECHO;-;-;-;Herbazales Rudero-Arvenses;-;-
22;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
23;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
24;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
25;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
26;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
27;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
28;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
29;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
30;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
31;-1;-1;1;1;-1;-1;-;-;Trigo;Trigo;-;-;TrigoCentenoCebadaAvena;TrigoCentenoCebadaAvena
32;-1;-1;1;1;-1;-1;-;-;Cebada;Cebada;-;-;TrigoCentenoCebadaAvena;TrigoCentenoCebadaAvena
33;2;2;1;1;-1;-1;GIRASOL;GIRASOL;Centeno;Centeno;Girasol;Girasol;TrigoCentenoCebadaAvena;TrigoCentenoCebadaAvena
34;-1;-1;1;1;-1;-1;-;-;Avena;Avena;-;-;TrigoCentenoCebadaAvena;TrigoCentenoCebadaAvena
35;10;10;10;10;-1;-1;COLZA;COLZA;Otros cereales;Otros Cereales;OtrosCultivos;OtrosCultivos;OtrosCultivos;OtrosCultivos
36;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
37;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
38;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
39;3;3;-1;-1;-1;-1;OTRAS LEGUMINOSAS GRANO;OTRAS LEGUMINOSAS GRANO;-;-;Leguminosas;Leguminosas;-;-
40;3;3;-1;-1;-1;-1;GUISANTES;GUISANTES;-;-;Leguminosas;Leguminosas;-;-
41;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
42;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
43;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
44;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
45;-1;-1;3;3;-1;-1;-;-;Otras Leguminosas;Otras Leguminosas;-;-;Leguminosas;Leguminosas
46;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
47;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
48;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
49;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
50;-1;-1;2;2;-1;-1;-;-;Girasol;Girasol;-;-;Girasol;Girasol
51;-1;-1;4;4;-1;-1;-;-;Maiz;Maiz;-;-;Maiz;Maiz
52;-1;3;5;5;-1;-1;-;VEZA;Patata;Patata;-;Leguminosas;Patatas;Patatas
53;-1;-1;6;6;-1;-1;-;-;Remolacha;Remolacha;-;-;Remolacha;Remolacha
54;-1;-1;3;3;-1;-1;-;-;Garbanzos;Garbanzos;-;-;Leguminosas;Leguminosas
55;-1;-1;3;3;-1;-1;-;-;Lentejas;Lentejas;-;-;Leguminosas;Leguminosas
56;-1;-1;-1;-1;-1;-1;-;-;-;Cartamo;-;-;-;OtrosCultivos
57;-1;-1;3;3;-1;-1;-;-;Alubias;Alubias;-;-;Leguminosas;Leguminosas
58;-1;-1;3;3;-1;-1;-;-;Yeros;Yeros;-;-;Leguminosas;Leguminosas
59;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
60;3;3;-1;-1;-1;-1;ALFALFA;ALFALFA;-;Zanahoria;Leguminosas;Leguminosas;-;OtrosCultivos
61;10;10;-1;-1;-1;-1;FORRAJERAS;FORRAJERAS;-;Ajo;OtrosCultivos;OtrosCultivos;-;OtrosCultivos
62;-1;-1;-1;-1;-1;-1;-;-;-;Cebolla;-;-;-;OtrosCultivos
63;-1;-1;-1;-1;-1;-1;-;-;-;Fresas;-;-;-;OtrosCultivos
64;-1;-1;-1;-1;-1;-1;-;-;-;Puerros;-;-;-;OtrosCultivos
65;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
66;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
67;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
68;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
69;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
70;1;-1;-1;-1;-1;-1;TRIGO REGADIO;-;-;-;TrigoCentenoCebadaAvena;-;-;-
71;1;-1;-1;-1;-1;-1;CEBADA REGADIO;-;-;-;TrigoCentenoCebadaAvena;-;-;-
72;3;-1;-1;-1;-1;-1;ALFALFA REGADIO;-;-;-;Leguminosas;-;-;-
73;2;-1;-1;-1;-1;-1;GIRASOL REGADIO;-;-;-;Girasol;-;-;-
74;10;-1;-1;-1;-1;-1;OTROS CEREALES REGADIO;-;-;-;OtrosCultivos;-;-;-
75;1;-1;-1;-1;-1;-1;CENTENO REGADIO;-;-;-;TrigoCentenoCebadaAvena;-;-;-
76;1;-1;-1;-1;-1;-1;AVENA REGADIO;-;-;-;TrigoCentenoCebadaAvena;-;-;-
77;1;-1;-1;-1;-1;-1;TRITICALE REGADIO;-;-;-;TrigoCentenoCebadaAvena;-;-;-
78;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
79;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
80;10;-1;-1;-1;-1;-1;OTROS CULTIVOS INDUSTRIALES;-;-;-;OtrosCultivos;-;-;-
81;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
82;6;6;-1;-1;-1;-1;REMOLACHA;REMOLACHA;-;-;Remolacha;Remolacha;-;-
83;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
84;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
85;-1;55;55;55;-1;-1;-;PASTIZAL;Pastizal;Pastizal;-;Pastizal;Pastizal;Pastizal
86;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
87;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
88;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
89;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
90;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
91;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
92;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
93;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
94;5;5;-1;-1;-1;-1;PATATAS;PATATAS;-;-;Patatas;Patatas;-;-
95;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
96;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
97;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
98;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
99;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
100;7;7;-1;-1;-1;-1;VIÑEDO;VI¥EDO;-;-;Viñedo;Viñedo;-;-
101;8;8;-1;-1;-1;-1;OLIVAR;OLIVAR;-;-;Olivar;Olivar;-;-
102;-1;10;-1;-1;-1;-1;-;ADORMIDERA;-;-;-;OtrosCultivos;-;-
103;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
104;-1;9;-1;-1;-1;-1;-;FRUTALES DE CASCARA;-;-;-;Frutales;-;-
105;-1;9;-1;-1;-1;-1;-;OTROS FRUTALES;-;-;-;Frutales;-;-
106;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
107;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
108;-1;9;-1;-1;-1;-1;-;PERALES;-;-;-;Frutales;-;-
109;-1;9;-1;-1;-1;-1;-;MANZANOS;-;-;-;Frutales;-;-
110;10;-1;-1;-1;-1;-1;HORTICOLA;-;-;-;OtrosCultivos;-;-;-
111;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
112;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
113;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
114;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
115;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
116;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
117;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
118;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
119;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
120;-1;27;20;20;-1;-1;-;PINUS SYLVESTRIS;Coniferas;Coniferas;-;Pinus Sylvestris;Conifera;Conifera
121;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
122;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
123;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
124;-1;23;-1;-1;-1;-1;-;PINUS NIGRA;-;-;-;Pinus Nigra;-;-
125;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
126;-1;24;-1;-1;-1;-1;-;PINUS PINASTER;-;-;-;Pinus Pinaster;-;-
127;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
128;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
129;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
130;-1;25;-1;-1;-1;-1;-;PINUS PINEA;-;-;-;Pinus Pinea;-;-
131;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
132;-1;22;-1;-1;-1;-1;-;PINUS HALEPENSIS;-;-;-;Pinus Halepensis;-;-
133;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
134;-1;26;-1;-1;-1;-1;-;PINUS RADIATA;-;-;-;Pinus Radiata;-;-
135;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
136;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
137;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
138;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
139;-1;21;-1;-1;-1;-1;-;JUNIPERUS THURIFERA;-;-;-;Juniperus Thurifera;-;-
140;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
141;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
142;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
143;-1;39;-1;-1;-1;-1;-;QUERCUS ILEX;-;-;-;Encinares;-;-
144;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
145;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
146;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
